// Time;RH1;Temp1
3 lug 2025, 12:00:00;57,80;29,49
3 lug 2025, 13:00:00;59,90;29,64
3 lug 2025, 14:00:00;59,65;29,70
3 lug 2025, 15:00:00;62,20;29,76
3 lug 2025, 16:00:00;63,73;29,80
3 lug 2025, 17:00:00;63,26;29,79
3 lug 2025, 18:00:00;62,72;29,68
3 lug 2025, 19:00:00;61,80;29,50
3 lug 2025, 20:00:00;61,50;29,39
3 lug 2025, 21:00:00;61,47;29,32
3 lug 2025, 22:00:00;61,43;29,30
3 lug 2025, 23:00:00;61,23;29,29
4 lug 2025, 00:00:00;60,96;29,27
4 lug 2025, 01:00:00;60,81;29,24
4 lug 2025, 02:00:00;60,69;29,21
4 lug 2025, 03:00:00;60,51;29,20
4 lug 2025, 04:00:00;60,36;29,20
4 lug 2025, 05:00:00;60,23;29,18
4 lug 2025, 06:00:00;59,72;29,15
4 lug 2025, 07:00:00;58,35;29,09
4 lug 2025, 08:00:00;59,32;29,09
4 lug 2025, 09:00:00;63,17;29,24
4 lug 2025, 10:00:00;65,66;29,45
4 lug 2025, 11:00:00;63,45;29,48
4 lug 2025, 12:00:00;63,44;29,41
4 lug 2025, 13:00:00;66,40;29,47
4 lug 2025, 14:00:00;68,27;29,60
4 lug 2025, 15:00:00;69,22;29,68
4 lug 2025, 16:00:00;68,94;29,68
4 lug 2025, 17:00:00;69,48;29,64
4 lug 2025, 18:00:00;69,12;29,59
4 lug 2025, 19:00:00;66,90;29,36
4 lug 2025, 20:00:00;66,53;29,25
4 lug 2025, 21:00:00;66,26;29,22
4 lug 2025, 22:00:00;66,04;29,21
4 lug 2025, 23:00:00;65,78;29,18
5 lug 2025, 00:00:00;65,85;29,16
5 lug 2025, 01:00:00;65,68;29,15
5 lug 2025, 02:00:00;65,52;29,14
5 lug 2025, 03:00:00;65,46;29,12
5 lug 2025, 04:00:00;65,43;29,11
5 lug 2025, 05:00:00;65,37;29,10
5 lug 2025, 06:00:00;65,37;29,08
5 lug 2025, 07:00:00;65,31;29,09
5 lug 2025, 08:00:00;65,42;29,07
5 lug 2025, 09:00:00;65,45;29,11
5 lug 2025, 10:00:00;65,56;29,12
5 lug 2025, 11:00:00;65,62;29,16
5 lug 2025, 12:00:00;65,61;29,18
5 lug 2025, 13:00:00;65,47;29,20
5 lug 2025, 14:00:00;65,11;29,19
5 lug 2025, 15:00:00;64,96;29,19
5 lug 2025, 16:00:00;64,90;29,21
5 lug 2025, 17:00:00;64,86;29,24
5 lug 2025, 18:00:00;64,89;29,24
5 lug 2025, 19:00:00;64,86;29,27
5 lug 2025, 20:00:00;64,87;29,27
5 lug 2025, 21:00:00;64,98;29,28
5 lug 2025, 22:00:00;65,11;29,29
5 lug 2025, 23:00:00;64,98;29,29
6 lug 2025, 00:00:00;64,88;29,26
6 lug 2025, 01:00:00;64,71;29,22
6 lug 2025, 02:00:00;64,67;29,19
6 lug 2025, 03:00:00;64,65;29,18
6 lug 2025, 04:00:00;64,54;29,18
6 lug 2025, 05:00:00;64,42;29,18
6 lug 2025, 06:00:00;64,34;29,15
6 lug 2025, 07:00:00;64,27;29,14
6 lug 2025, 08:00:00;64,18;29,14
6 lug 2025, 09:00:00;64,27;29,15
6 lug 2025, 10:00:00;64,39;29,15
6 lug 2025, 11:00:00;64,37;29,12
6 lug 2025, 12:00:00;63,91;29,08
6 lug 2025, 13:00:00;63,21;28,98
6 lug 2025, 14:00:00;62,30;28,92
6 lug 2025, 15:00:00;61,95;28,89
6 lug 2025, 16:00:00;61,11;28,84
6 lug 2025, 17:00:00;60,49;28,77
6 lug 2025, 18:00:00;60,81;28,81
6 lug 2025, 19:00:00;61,50;28,87
6 lug 2025, 20:00:00;62,16;28,94
6 lug 2025, 21:00:00;62,02;28,91
6 lug 2025, 22:00:00;61,46;28,79
6 lug 2025, 23:00:00;60,94;28,76
7 lug 2025, 00:00:00;61,22;28,78
7 lug 2025, 01:00:00;61,50;28,81
7 lug 2025, 02:00:00;61,55;28,84
7 lug 2025, 03:00:00;61,63;28,83
7 lug 2025, 04:00:00;61,53;28,81
7 lug 2025, 05:00:00;61,38;28,79
7 lug 2025, 06:00:00;59,97;28,64
7 lug 2025, 07:00:00;59,26;28,28
7 lug 2025, 08:00:00;58,79;28,13
7 lug 2025, 09:00:00;58,00;28,09
7 lug 2025, 10:00:00;57,98;28,15
7 lug 2025, 11:00:00;60,46;28,27
7 lug 2025, 12:00:00;60,06;28,30
7 lug 2025, 13:00:00;58,83;28,23
7 lug 2025, 14:00:00;58,30;28,15
7 lug 2025, 15:00:00;59,49;28,12
7 lug 2025, 16:00:00;59,87;28,13
7 lug 2025, 17:00:00;58,33;28,08
7 lug 2025, 18:00:00;58,81;27,99
7 lug 2025, 19:00:00;59,04;27,95
7 lug 2025, 20:00:00;59,21;27,93
7 lug 2025, 21:00:00;59,59;27,92
7 lug 2025, 22:00:00;59,90;27,92
7 lug 2025, 23:00:00;59,37;27,91
8 lug 2025, 00:00:00;58,22;27,67
8 lug 2025, 01:00:00;57,34;27,60
8 lug 2025, 02:00:00;55,46;27,59
8 lug 2025, 03:00:00;54,83;27,52
8 lug 2025, 04:00:00;54,76;27,45
8 lug 2025, 05:00:00;53,44;27,38
8 lug 2025, 06:00:00;50,04;27,31
8 lug 2025, 07:00:00;43,17;26,72
8 lug 2025, 08:00:00;45,14;26,35
8 lug 2025, 09:00:00;42,73;26,31
8 lug 2025, 10:00:00;43,00;26,42
8 lug 2025, 11:00:00;43,98;26,65
8 lug 2025, 12:00:00;45,01;26,84
8 lug 2025, 13:00:00;45,85;27,02
8 lug 2025, 14:00:00;47,77;27,13
8 lug 2025, 15:00:00;50,41;27,28
8 lug 2025, 16:00:00;51,52;27,36
8 lug 2025, 17:00:00;52,78;27,35
